Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
2011,12.89,37635,Petrol,Dealer,Manual,0,9.38
2011,6.85,198749,Diesel,Dealer,Manual,0,0.69
2020,24.9,66764,Diesel,Dealer,Manual,0,22.77
2007,7.99,111492,Petrol,Dealer,Manual,0,2.44
2021,28.01,147321,Petrol,Dealer,Manual,0,24.76
2021,2.64,32402,Petrol,Individual,Automatic,0,1.28
2000,27.8,96901,Petrol,Dealer,Automatic,0,21.04
2003,18.5,44087,Diesel,Individual,Manual,2,13.23
2020,23.69,45247,Diesel,Dealer,Automatic,0,21.91
2010,13.16,87868,Petrol,Dealer,Manual,0,8.62
2002,29.77,14369,Diesel,Dealer,Automatic,0,24.79
2012,8.37,87312,Diesel,Dealer,Manual,0,4.25
2024,9.4,145651,Petrol,Dealer,Automatic,0,6.79
2016,3.44,37714,Petrol,Dealer,Manual,0,0.96
2021,28.33,37448,Petrol,Dealer,Manual,0,26.89
2021,14.77,56557,Petrol,Individual,Automatic,0,13.01
2009,20.9,72564,Diesel,Dealer,Automatic,0,16.4
2020,21.25,18367,Petrol,Dealer,Manual,0,19.92
2011,26.49,112803,Petrol,Individual,Manual,0,21.74
2014,20.62,23334,Petrol,Dealer,Automatic,0,17.96
2020,17.74,60233,Diesel,Dealer,Manual,0,15.72
2009,21.89,35289,Diesel,Dealer,Manual,0,18.01
2013,23.03,63089,Diesel,Individual,Automatic,0,19.51
2012,7.21,25432,Petrol,Individual,Manual,0,4.11
2004,5.07,163895,Diesel,Dealer,Automatic,0,0.5
2005,4.1,160170,Diesel,Dealer,Manual,0,0.5
2023,12.47,114150,Petrol,Individual,Manual,2,10.18
2001,15.94,93034,Diesel,Individual,Manual,0,9.45
2021,19.24,8514,Petrol,Dealer,Automatic,0,18.27
2016,28.82,140383,Diesel,Dealer,Automatic,0,24.65
2003,11.26,10412,Petrol,Dealer,Automatic,0,6.55
2013,23.3,15269,Petrol,Dealer,Manual,1,20.57
2009,16.88,150745,Petrol,Individual,Manual,1,11.09
2002,8.16,55394,Petrol,Dealer,Manual,0,2.5
2024,19.23,82199,Petrol,Individual,Manual,0,17.67
2002,29.08,128859,Diesel,Dealer,Automatic,0,22.21
2014,5.48,25328,Petrol,Dealer,Manual,0,2.79
2005,16.2,32694,Diesel,Individual,Manual,0,11.53
2016,3.45,55971,Petrol,Individual,Manual,0,0.67
2011,10.99,106268,Diesel,Dealer,Manual,0,6.35
2021,19.38,181168,Diesel,Dealer,Manual,0,15.57
2019,25.55,145540,Petrol,Dealer,Manual,0,21.91
2023,22.45,165096,Petrol,Dealer,Manual,0,19.32
2010,14.96,132599,Diesel,Dealer,Automatic,0,9.68
2024,27.46,37968,Diesel,Dealer,Automatic,0,26.63
2003,10.48,55623,Petrol,Individual,Manual,0,5.02
2005,23.11,117855,Petrol,Dealer,Manual,0,17.04
2000,15.27,146964,Petrol,Individual,Manual,1,7.69
2019,27.16,132197,Diesel,Dealer,Automatic,0,23.74
2022,24.33,180274,Petrol,Dealer,Manual,0,20.74
2015,27.24,121854,Petrol,Individual,Automatic,1,23.17
2014,8.0,10229,Petrol,Individual,Manual,0,5.56
2016,20.71,142076,Petrol,Dealer,Manual,0,16.51
2007,22.68,122305,Petrol,Individual,Manual,1,16.95
2011,22.79,73883,Petrol,Individual,Manual,0,18.68
2021,16.11,12281,CNG,Individual,Manual,0,15.08
2020,2.32,22920,Petrol,Dealer,Manual,2,0.91
2009,9.32,126878,Petrol,Dealer,Automatic,0,3.93
2014,11.05,154024,Petrol,Dealer,Automatic,0,6.24
2008,25.86,48704,CNG,Individual,Automatic,0,21.55
2001,25.54,68696,Diesel,Dealer,Automatic,0,19.45
2004,4.93,114237,Petrol,Individual,Automatic,0,0.5
2005,28.6,53577,CNG,Dealer,Manual,0,23.59
2006,7.11,124390,Petrol,Dealer,Manual,0,1.14
2020,13.6,50493,Diesel,Dealer,Automatic,0,11.74
2024,8.02,193661,Petrol,Dealer,Manual,0,4.62
2000,26.09,12332,Diesel,Individual,Automatic,0,20.73
2022,22.98,132844,CNG,Individual,Manual,0,20.17
2006,11.9,115982,Diesel,Dealer,Manual,1,6.07
2019,21.09,199804,Petrol,Dealer,Manual,0,16.56
2024,7.16,23403,Petrol,Individual,Manual,0,6.57
2011,12.7,36488,Diesel,Individual,Automatic,0,9.21
2015,12.56,29541,Petrol,Dealer,Manual,0,10.01
2015,8.66,120857,Petrol,Individual,Manual,0,4.6
2010,26.54,100657,Petrol,Individual,Automatic,0,21.79
2020,21.01,97966,Petrol,Individual,Manual,0,18.36
2003,9.84,110802,Petrol,Individual,Manual,0,3.47
2012,8.78,198728,Petrol,Individual,Automatic,0,2.82
2006,2.5,141760,Diesel,Dealer,Manual,0,0.5
2003,11.7,96621,Petrol,Dealer,Manual,0,5.57
2014,16.75,87116,Petrol,Individual,Manual,0,13.04
2018,9.78,187485,Diesel,Individual,Manual,0,5.25
2008,21.61,105812,Petrol,Individual,Automatic,0,16.36
2010,13.53,15768,Petrol,Dealer,Manual,0,10.17
2007,10.86,197902,Petrol,Individual,Manual,0,3.88
2000,28.29,33358,Diesel,Individual,Automatic,0,22.58
2022,9.36,13459,Petrol,Individual,Automatic,0,8.52
2024,13.15,22622,Diesel,Individual,Automatic,0,12.57
2023,12.7,91454,Diesel,Individual,Manual,0,10.78
2007,8.75,173757,Diesel,Individual,Manual,2,2.17
2012,8.09,157590,Petrol,Individual,Manual,0,2.81
2021,10.47,42917,Petrol,Dealer,Manual,0,8.94
2003,26.2,16412,Diesel,Dealer,Manual,0,21.39
2007,23.48,76995,Diesel,Dealer,Manual,0,18.5
2002,21.07,161295,Petrol,Dealer,Manual,0,13.66
2008,14.8,111231,Diesel,Dealer,Manual,1,9.46
2001,16.22,80639,Petrol,Dealer,Automatic,1,9.94
2001,9.48,77611,Diesel,Individual,Manual,0,3.25
2012,4.08,41377,Petrol,Dealer,Manual,0,0.71
2014,11.27,172507,Petrol,Individual,Manual,0,6.16
2022,15.88,57346,Petrol,Dealer,Manual,0,14.32
2011,3.6,40653,Petrol,Individual,Manual,0,0.5
2003,4.47,197161,Diesel,Dealer,Manual,1,0.5
2007,9.36,183235,Diesel,Individual,Manual,0,2.63
2008,12.28,131716,Diesel,Individual,Manual,0,6.6
2022,13.01,181864,Diesel,Dealer,Manual,0,9.39
2004,5.3,157188,Petrol,Dealer,Manual,0,0.5
2023,8.32,106972,Diesel,Individual,Manual,0,6.14
2019,9.33,168496,Diesel,Individual,Manual,0,5.32
2017,3.89,168161,Petrol,Dealer,Automatic,0,0.5
2010,11.13,197249,Petrol,Dealer,Automatic,0,4.78
2014,4.02,95696,Petrol,Individual,Manual,0,0.5
2021,21.7,118019,Petrol,Individual,Manual,0,18.93
2008,12.81,151988,Petrol,Dealer,Automatic,0,6.8
2016,11.15,84932,Petrol,Dealer,Automatic,0,7.89
2011,5.54,185640,Petrol,Individual,Manual,0,0.5
2006,8.34,163168,Petrol,Dealer,Manual,0,1.73
2009,8.52,174651,Petrol,Individual,Manual,0,2.34
2024,29.59,175350,Petrol,Individual,Manual,0,26.49
2024,25.39,46215,Petrol,Individual,Manual,0,24.42
2009,2.43,161007,Petrol,Dealer,Manual,1,0.5
2012,19.27,130550,Petrol,Dealer,Manual,0,14.44
2018,9.17,48026,Diesel,Individual,Manual,0,6.93
2010,4.92,117391,Petrol,Dealer,Automatic,0,0.5
2012,21.76,12877,Diesel,Dealer,Manual,0,18.86
2020,5.68,71181,Petrol,Individual,Automatic,0,3.48
2007,14.42,128591,Diesel,Individual,Manual,0,8.59
2007,19.7,159040,Petrol,Dealer,Manual,0,13.36
2003,17.53,110559,Petrol,Individual,Automatic,0,11.17
2014,29.37,113091,Petrol,Individual,Manual,0,25.24
2010,24.0,156414,Diesel,Individual,Manual,0,18.33
2010,23.68,181530,Diesel,Dealer,Automatic,0,17.59
2000,11.96,171012,Petrol,Individual,Automatic,0,3.98
2016,2.24,49211,Diesel,Individual,Automatic,0,0.5
2014,22.56,14128,Diesel,Dealer,Automatic,0,20.06
2019,29.99,101602,Diesel,Individual,Manual,0,27.08
2005,13.36,107867,Petrol,Dealer,Manual,0,7.45
2023,29.59,193247,Petrol,Individual,Automatic,1,25.99
2021,5.97,120365,Petrol,Individual,Manual,0,3.16
2024,10.3,199942,Diesel,Individual,Manual,0,6.8
2014,6.78,56855,Petrol,Dealer,Automatic,2,3.57
2008,15.3,126696,CNG,Individual,Manual,0,9.7
2013,24.32,116817,Petrol,Individual,Manual,0,19.92
2017,11.54,189882,Petrol,Dealer,Automatic,0,6.76
2016,27.37,81676,Diesel,Individual,Manual,0,24.17
2017,17.26,29691,Petrol,Individual,Automatic,1,15.12
2004,15.03,78810,Diesel,Dealer,Manual,0,9.4
2019,24.04,146757,Petrol,Dealer,Automatic,0,20.38
2019,4.84,129018,Petrol,Individual,Manual,0,1.48
2008,23.67,120496,Petrol,Dealer,Manual,0,18.18
2010,8.8,134108,Diesel,Individual,Manual,0,3.49
2023,9.86,150602,Petrol,Dealer,Manual,0,6.97
2021,18.78,91074,Petrol,Dealer,Automatic,0,16.45
2000,27.25,105084,Diesel,Dealer,Manual,0,20.36
2017,18.2,194672,Diesel,Dealer,Manual,0,13.34
2005,20.17,9909,Petrol,Dealer,Manual,0,15.88
2001,23.74,165101,Petrol,Individual,Automatic,1,16.07
2014,9.26,126483,CNG,Dealer,Manual,2,4.91
2020,25.16,114632,Diesel,Individual,Manual,0,22.24
2013,13.7,175961,Diesel,Individual,Manual,0,8.32
2004,6.92,75166,Petrol,Dealer,Manual,0,1.35
2005,11.8,37666,Petrol,Dealer,Manual,0,7.05
2005,8.89,56128,Diesel,Dealer,Automatic,0,3.84
2021,8.4,54707,Diesel,Individual,Automatic,1,6.67
2017,9.91,75379,Petrol,Dealer,Manual,0,7.02
2013,7.07,63437,Diesel,Individual,Manual,0,3.55
2009,20.7,106275,Diesel,Individual,Manual,0,15.65
2013,18.24,138014,Petrol,Individual,Manual,0,13.49
2012,20.16,115451,Diesel,Dealer,Automatic,1,15.57
2002,11.62,60841,Diesel,Individual,Automatic,0,5.87
2005,23.55,158112,Petrol,Individual,Manual,0,16.82
2007,5.63,192274,Diesel,Individual,Manual,0,0.5
2011,17.99,82359,Diesel,Dealer,Manual,0,13.74
2012,9.71,70673,Petrol,Individual,Automatic,0,5.86
2010,16.77,38673,Petrol,Dealer,Automatic,0,13.04
2011,11.06,37017,Petrol,Individual,Manual,1,7.56
2000,24.13,181113,Petrol,Individual,Manual,0,15.99
2016,26.96,139331,Diesel,Individual,Manual,1,22.81
2015,22.79,154832,Petrol,Individual,Automatic,0,18.17
2010,6.92,58292,Petrol,Individual,Automatic,0,2.86
2012,9.7,159473,CNG,Dealer,Automatic,0,4.39
2017,27.74,150288,Petrol,Individual,Automatic,1,23.61
2010,14.24,89003,Petrol,Individual,Manual,0,9.68
2011,28.35,123414,CNG,Dealer,Manual,0,23.43
2005,12.99,27935,Diesel,Individual,Manual,0,8.4
2008,28.65,92975,Diesel,Dealer,Manual,1,23.61
2015,27.92,132738,Diesel,Dealer,Manual,2,23.67
2003,20.49,175625,Petrol,Dealer,Manual,0,13.05
2002,2.25,78091,Diesel,Dealer,Manual,0,0.5
2015,13.21,75373,Petrol,Dealer,Manual,0,9.9
2023,27.51,115942,Petrol,Dealer,Manual,0,25.19
2024,26.78,48686,Diesel,Dealer,Manual,2,25.77
2011,7.25,25268,Petrol,Dealer,Automatic,1,3.94
2010,13.18,27681,Petrol,Individual,Manual,0,9.63
2004,25.39,47427,Diesel,Individual,Automatic,0,20.27
2024,18.18,169036,Petrol,Individual,Automatic,0,15.19
2017,25.72,85725,Petrol,Individual,Manual,1,22.66
2018,25.14,114637,Diesel,Individual,Manual,0,21.81
2022,27.41,55916,Petrol,Dealer,Manual,0,25.87
2022,5.28,51197,Diesel,Dealer,Automatic,0,3.82
2005,6.07,155302,Diesel,Dealer,Manual,0,0.5
2021,4.32,27910,Petrol,Dealer,Manual,0,3.03
2017,28.19,20357,Diesel,Dealer,Manual,0,26.2
2005,15.3,163979,Petrol,Individual,Manual,1,8.47
2003,3.8,193122,Petrol,Individual,Automatic,0,0.5
2011,11.0,83372,Diesel,Dealer,Manual,0,6.74
2018,11.84,66557,Petrol,Dealer,Automatic,0,9.3
2001,24.67,54665,Petrol,Individual,Manual,1,18.81
2016,22.59,39022,CNG,Individual,Manual,0,20.09
2010,21.3,49816,Diesel,Dealer,Manual,2,17.38
2010,2.61,26520,Diesel,Individual,Manual,0,0.5
2020,27.5,26999,Diesel,Dealer,Manual,0,26.02
2015,8.04,25391,Diesel,Dealer,Manual,0,5.56
2001,19.61,89274,Petrol,Dealer,Manual,0,13.18
2001,3.73,189689,Petrol,Individual,Automatic,0,0.5
2022,4.28,153951,Petrol,Individual,Manual,0,1.12
2007,2.27,92500,Petrol,Individual,Manual,0,0.5
2012,17.85,125859,Petrol,Individual,Automatic,0,13.09
2009,19.62,91905,Diesel,Individual,Manual,0,14.8
2007,3.41,139701,Petrol,Individual,Manual,0,0.5
2003,10.13,69369,Diesel,Dealer,Manual,0,4.45
2014,25.84,11782,Diesel,Individual,Manual,0,23.38
2000,4.84,116209,CNG,Dealer,Manual,0,0.5
2010,8.06,65877,Petrol,Individual,Manual,0,3.88
2006,13.88,13406,Petrol,Dealer,Manual,0,9.74
2016,25.58,100830,Petrol,Dealer,Manual,1,22.06
2019,9.14,133969,Petrol,Individual,Manual,0,5.69
2023,29.92,110317,Diesel,Individual,Automatic,0,27.69
2017,11.95,147736,Petrol,Dealer,Manual,0,7.86
2021,12.82,134562,Petrol,Individual,Manual,0,9.78
2021,5.42,172613,Petrol,Dealer,Manual,0,1.75
2011,21.05,59538,Diesel,Individual,Manual,1,17.18
2008,8.82,183130,Petrol,Individual,Automatic,0,2.29
2004,19.61,150019,Petrol,Individual,Manual,0,12.8
2009,8.25,43763,Diesel,Individual,Manual,0,4.23
2003,12.86,39522,Petrol,Dealer,Manual,0,7.67
2004,25.99,158596,CNG,Dealer,Manual,2,19.04
2009,22.69,118295,Petrol,Dealer,Manual,0,17.44
2010,6.33,50371,Petrol,Individual,Manual,0,2.4
2020,19.02,66910,Petrol,Individual,Manual,0,16.89
2023,19.6,145896,Diesel,Individual,Manual,0,16.78
2009,4.54,54075,Diesel,Individual,Manual,0,0.5
2007,15.04,176029,Diesel,Individual,Automatic,0,8.42
2001,9.3,126037,CNG,Dealer,Manual,0,2.27
2022,15.08,42964,Diesel,Dealer,Manual,0,13.75
2007,23.76,196701,Petrol,Dealer,Manual,0,16.8
2015,6.43,47438,Diesel,Individual,Manual,0,3.58
2021,5.45,6573,Diesel,Individual,Automatic,0,4.52
2004,9.54,72136,Petrol,Individual,Manual,0,4.02
2024,28.66,52794,Petrol,Dealer,Manual,0,27.58
2002,22.94,129384,Diesel,Individual,Manual,0,16.06
2011,2.54,195846,Petrol,Dealer,Manual,0,0.5
2012,13.23,191518,Petrol,Individual,Manual,1,7.39
2012,9.21,84230,Diesel,Dealer,Automatic,0,5.14
2009,19.87,152214,Petrol,Individual,Manual,0,14.06
2003,14.86,189683,Diesel,Individual,Manual,0,7.19
2008,29.01,155427,Diesel,Individual,Automatic,0,22.94
2021,8.13,132298,Petrol,Individual,Manual,0,5.12
2023,18.46,44337,Petrol,Dealer,Manual,1,17.32
2022,21.61,71336,Diesel,Dealer,Automatic,0,19.82
2001,25.12,100840,Diesel,Individual,Automatic,2,18.5
2018,13.4,189726,Petrol,Dealer,Automatic,0,8.83
2000,21.23,105699,Diesel,Individual,Manual,0,14.33
2024,10.49,93207,Diesel,Dealer,Manual,0,8.75
2006,14.19,152876,Petrol,Individual,Manual,0,7.75
2016,27.08,44146,Petrol,Dealer,Automatic,0,24.49
2002,28.6,38418,Diesel,Individual,Manual,0,23.22
2019,22.13,190099,Diesel,Dealer,Automatic,0,17.76
2019,12.48,158876,CNG,Dealer,Manual,0,8.62
2020,24.96,118293,Diesel,Dealer,Manual,0,21.98
2002,2.72,188584,Petrol,Dealer,Automatic,0,0.5
2002,4.88,133472,Petrol,Individual,Manual,0,0.5
2016,20.52,7535,Diesel,Individual,Automatic,1,18.54
2006,10.15,168736,Petrol,Dealer,Automatic,0,3.45
2013,28.64,171946,Petrol,Dealer,Manual,0,23.33
2016,14.21,108486,Petrol,Dealer,Automatic,0,10.56
2017,14.02,124921,Diesel,Dealer,Automatic,0,10.31
2012,20.99,14078,Petrol,Dealer,Manual,1,18.07
2019,23.49,69636,Petrol,Dealer,Manual,0,21.1
2019,15.32,14363,Petrol,Individual,Manual,0,13.84
2020,7.99,76998,Petrol,Individual,Manual,0,5.69
2017,23.65,58864,Diesel,Dealer,Manual,0,21.03
2003,10.97,117757,Petrol,Dealer,Automatic,0,4.49
2000,6.9,97926,Diesel,Individual,Manual,0,0.5
2017,19.69,119174,Diesel,Dealer,Automatic,0,16.08
2000,4.53,103546,Diesel,Dealer,Automatic,2,0.5
2012,29.2,169747,Diesel,Individual,Automatic,0,23.72
2019,19.71,87463,Petrol,Individual,Automatic,0,17.03
2019,29.61,126450,Petrol,Individual,Manual,1,26.29
2022,11.49,66536,Petrol,Dealer,Manual,0,9.77
2009,29.19,119991,Petrol,Dealer,Automatic,2,23.91
2010,6.08,34662,Petrol,Dealer,Manual,1,2.41
2008,3.14,31592,Diesel,Individual,Manual,0,0.5
2008,2.92,12421,Petrol,Individual,Automatic,0,0.5
2004,15.02,28927,Petrol,Dealer,Manual,0,10.21
2000,4.32,178242,Petrol,Dealer,Manual,0,0.5
2016,16.34,59547,Diesel,Dealer,Manual,1,13.5
2021,11.17,118256,Diesel,Individual,Manual,1,8.4
2001,11.4,128748,Petrol,Dealer,Automatic,2,4.32
2023,19.8,11948,Petrol,Individual,Manual,0,19.19
2012,6.57,121263,Petrol,Dealer,Manual,0,1.89
2008,23.46,108356,Diesel,Individual,Manual,0,18.17
2003,18.3,113087,Petrol,Individual,Manual,0,11.9
2004,27.62,117397,Diesel,Dealer,Manual,0,21.35
2010,12.22,131115,Diesel,Dealer,Automatic,1,6.96
2023,29.52,5203,Petrol,Individual,Manual,0,29.02
2018,18.12,68521,Diesel,Individual,Automatic,0,15.55
2020,29.26,169397,Diesel,Individual,Manual,0,25.44
2002,2.76,41470,Petrol,Dealer,Automatic,0,0.5
2011,22.38,90074,CNG,Dealer,Automatic,0,18.01
2018,24.87,150380,Petrol,Dealer,Manual,0,20.95
2018,3.49,88094,Petrol,Individual,Manual,0,0.59
2012,18.21,56313,Petrol,Dealer,Automatic,0,14.6
2006,24.45,31175,Petrol,Dealer,Manual,0,20.01
2014,17.71,46567,Diesel,Individual,Manual,0,14.67
2022,3.79,10291,Petrol,Dealer,Automatic,1,3.0
2006,21.42,13202,Diesel,Dealer,Automatic,0,17.28
2007,3.7,195019,Petrol,Individual,Manual,0,0.5
2004,24.89,62660,Diesel,Dealer,Manual,1,19.52
2020,3.2,25023,Petrol,Individual,Manual,0,1.76
2013,5.85,91706,Petrol,Dealer,Manual,0,1.86
2003,9.7,91078,Petrol,Individual,Manual,0,3.66
2022,19.73,70309,Petrol,Individual,Manual,1,17.95
2009,29.34,189329,Petrol,Dealer,Automatic,0,22.92
2019,5.3,8031,Petrol,Individual,Manual,0,3.93
2014,6.0,81694,Petrol,Dealer,Manual,0,2.38
2017,12.33,149896,Petrol,Individual,Manual,0,8.21
2019,25.41,84407,Petrol,Dealer,Manual,0,22.78
2012,15.08,123659,Petrol,Individual,Manual,0,10.36
2007,11.01,85027,Diesel,Individual,Manual,0,5.89
2008,17.71,195635,Diesel,Dealer,Manual,0,10.98
2015,9.29,104444,Petrol,Individual,Automatic,0,5.5
2018,13.23,156362,CNG,Dealer,Manual,0,9.21
2015,11.31,154889,Petrol,Individual,Automatic,0,6.69
2006,24.52,132545,Petrol,Dealer,Automatic,0,18.41
2013,27.88,66189,Petrol,Dealer,Manual,0,24.31
2013,23.27,37937,Petrol,Dealer,Manual,0,20.17
2024,14.29,72344,Diesel,Individual,Automatic,0,12.89
2003,16.12,46380,Petrol,Dealer,Manual,0,10.81
2014,5.5,146227,Petrol,Dealer,Manual,0,0.82
2002,22.91,81071,Petrol,Dealer,Automatic,0,16.83
2004,18.7,188508,Diesel,Dealer,Manual,2,11.26
2000,27.27,148019,Petrol,Dealer,Manual,0,19.67
2002,7.62,57382,Diesel,Individual,Manual,0,1.93
2014,23.27,162916,Diesel,Individual,Automatic,0,18.32
2023,21.17,133891,Petrol,Individual,Manual,0,18.55
2007,9.44,67348,Petrol,Dealer,Manual,0,4.61
2003,20.69,157032,Petrol,Individual,Automatic,0,13.56
2001,27.88,133097,Petrol,Individual,Manual,0,20.73
2023,27.72,35483,Diesel,Dealer,Manual,1,26.72
2023,22.15,16950,Petrol,Dealer,Manual,0,21.46
2009,3.35,108177,Petrol,Dealer,Automatic,0,0.5
2003,26.42,146504,Petrol,Dealer,Manual,0,19.46
2002,20.42,192187,Diesel,Dealer,Automatic,0,12.51
2001,10.69,9414,Diesel,Individual,Automatic,0,5.58
2024,7.24,133668,Petrol,Dealer,Automatic,0,4.83
2016,5.25,122173,Petrol,Individual,Manual,0,1.38
2022,3.41,110009,Petrol,Dealer,Manual,1,0.98
2020,23.11,168079,CNG,Individual,Manual,0,19.31
2023,8.6,31872,CNG,Individual,Automatic,0,7.66
2019,2.68,67216,Petrol,Dealer,Automatic,0,0.5
2022,13.12,82846,Diesel,Individual,Manual,0,11.14
2012,15.51,44675,Petrol,Individual,Manual,0,12.09
2004,6.74,126043,Petrol,Individual,Manual,2,0.5
2020,3.23,188201,Petrol,Individual,Manual,0,0.5
2008,7.3,129431,Diesel,Individual,Automatic,1,1.66
2024,21.01,147582,Diesel,Dealer,Manual,0,18.37
2024,4.3,52061,Diesel,Individual,Manual,0,3.24
2021,17.54,199044,Petrol,Dealer,Automatic,0,13.43
2005,6.1,149621,Petrol,Dealer,Manual,0,0.5
2004,7.48,136773,Petrol,Individual,Manual,0,0.89
2024,13.01,24455,Petrol,Dealer,Manual,0,12.4
2009,4.82,13918,Petrol,Dealer,Manual,0,1.29
2007,6.85,73160,Petrol,Individual,Automatic,0,1.93
2006,11.77,13141,Petrol,Dealer,Automatic,0,7.63
2006,11.23,51771,Petrol,Dealer,Manual,0,6.45
2005,22.98,73208,Petrol,Individual,Manual,0,17.65
2020,4.09,24493,Diesel,Individual,Manual,0,2.65
2019,26.09,17199,Petrol,Individual,Automatic,0,24.57
2002,24.85,183545,Petrol,Dealer,Manual,0,17.08
2018,23.45,194191,Petrol,Individual,Automatic,0,18.81
2021,10.66,25255,Diesel,Dealer,Automatic,0,9.42
2014,25.04,121263,Petrol,Individual,Manual,0,20.77
2003,7.12,197943,Diesel,Dealer,Manual,0,0.5
2011,5.48,32916,Petrol,Individual,Automatic,0,2.05
2005,3.26,7170,Petrol,Dealer,Manual,0,0.5
2018,28.3,159650,Diesel,Dealer,Manual,0,24.22
2003,10.62,23093,Petrol,Dealer,Automatic,0,5.7
2014,27.69,64974,Petrol,Dealer,Manual,0,24.35
2008,9.63,18140,Diesel,Individual,Manual,2,5.82
2004,27.41,61636,Petrol,Dealer,Manual,0,22.06
2012,27.31,67535,Petrol,Individual,Automatic,0,23.51
2022,27.86,71844,Diesel,Dealer,Manual,0,26.06
2017,15.89,113615,Petrol,Individual,Automatic,1,12.37
2004,26.25,146221,Petrol,Dealer,Automatic,0,19.51
2024,28.62,192570,Diesel,Individual,Manual,0,25.24
2015,11.09,10162,Petrol,Dealer,Manual,0,8.86
2018,13.73,97935,Diesel,Individual,Manual,2,10.67
2013,22.14,165152,Petrol,Individual,Manual,0,16.94
2024,10.41,151665,Diesel,Dealer,Automatic,0,7.7
2015,23.11,115953,Petrol,Individual,Manual,0,19.14
2014,4.07,141315,Petrol,Dealer,Automatic,0,0.5
2021,16.66,163006,Diesel,Individual,Manual,0,13.15
2003,5.42,31796,Petrol,Dealer,Manual,0,0.5
2006,10.21,11978,Petrol,Individual,Manual,0,6.09
2015,9.24,77504,Petrol,Individual,Manual,0,5.9
2023,25.49,102840,Petrol,Individual,Manual,0,23.38
2021,7.42,194493,Petrol,Individual,Automatic,0,3.39
2020,24.64,127798,Petrol,Dealer,Automatic,0,21.5
2021,24.23,135751,Petrol,Dealer,Manual,0,21.17
2020,15.97,166264,CNG,Dealer,Manual,0,12.2
2007,8.55,173471,Petrol,Dealer,Manual,0,1.98
2016,8.35,96936,Petrol,Individual,Automatic,0,4.9
2015,15.02,77290,Diesel,Dealer,Manual,0,11.68
2022,2.25,25636,Diesel,Individual,Automatic,0,1.21
2009,16.88,77711,CNG,Dealer,Manual,0,12.3
2009,28.68,109906,CNG,Dealer,Automatic,0,23.57
2001,6.33,137367,Diesel,Dealer,Automatic,0,0.5
2008,18.05,88834,Petrol,Dealer,Manual,2,13.08
2016,28.93,9512,Petrol,Individual,Manual,0,26.92
2010,26.09,88198,Petrol,Dealer,Manual,0,21.54
2009,25.81,88100,Diesel,Individual,Manual,0,21.06
2021,25.01,180212,Diesel,Dealer,Automatic,0,21.22
2024,10.65,166879,Diesel,Individual,Automatic,0,7.69
2016,26.94,48713,Petrol,Individual,Manual,0,24.28
2003,28.36,88972,CNG,Dealer,Manual,0,22.35
2015,15.88,192095,Diesel,Dealer,Manual,0,10.65
2019,11.93,178492,Diesel,Dealer,Manual,0,7.75
2014,13.6,170419,Petrol,Dealer,Manual,0,8.52
2024,11.36,34934,Petrol,Dealer,Automatic,0,10.58
2020,7.95,198670,Diesel,Dealer,Manual,2,3.64
2004,19.32,100198,Diesel,Individual,Automatic,0,13.33
2005,17.75,19301,Diesel,Individual,Automatic,0,13.3
2016,14.95,23943,Petrol,Individual,Automatic,0,12.7
2000,4.68,42445,Diesel,Individual,Manual,0,0.5
2024,24.31,184012,Petrol,Individual,Manual,1,21.07
2018,6.9,64982,Petrol,Individual,Manual,0,4.38
2003,5.21,106986,Petrol,Dealer,Automatic,2,0.5
2016,19.45,79293,Petrol,Individual,Automatic,0,16.29
2008,13.16,194640,Diesel,Dealer,Manual,0,6.44
2023,3.67,93445,Diesel,Individual,Manual,0,1.72
2001,11.96,180289,Diesel,Individual,Automatic,0,4.04
2007,23.61,33304,Petrol,Individual,Manual,0,19.35
2014,19.23,150012,Diesel,Dealer,Manual,0,14.49
2006,12.16,47582,Petrol,Individual,Manual,0,7.45
2005,7.37,44526,Petrol,Dealer,Automatic,0,2.51
2000,19.69,61622,Petrol,Dealer,Automatic,0,13.51
2014,26.85,88420,Petrol,Individual,Automatic,0,23.12
2022,20.1,175298,Diesel,Dealer,Manual,0,16.59
2006,24.76,147950,Diesel,Individual,Automatic,0,18.4
2024,16.6,65844,Diesel,Individual,Manual,1,15.31
2016,22.1,66805,Diesel,Dealer,Manual,0,19.14
2001,27.09,81861,Diesel,Dealer,Automatic,2,20.79
2008,23.65,130052,Diesel,Dealer,Automatic,0,18.0
2008,27.48,118610,Petrol,Dealer,Manual,0,22.02
2012,14.07,133369,Petrol,Dealer,Manual,0,9.19
2005,27.32,149012,Diesel,Individual,Manual,0,20.74
2005,19.4,6537,Petrol,Dealer,Manual,0,15.16
2019,26.36,109489,Diesel,Individual,Automatic,0,23.32
2019,3.1,198717,Diesel,Individual,Manual,0,0.5
2020,20.42,57234,Petrol,Dealer,Automatic,2,18.44
2002,25.74,68727,Petrol,Dealer,Manual,0,19.86
2016,6.88,50424,Diesel,Individual,Manual,0,4.19
2016,20.53,199965,Petrol,Individual,Manual,0,15.38
2011,25.1,5212,Diesel,Individual,Manual,0,22.12
2015,10.06,152632,Petrol,Dealer,Manual,2,5.48
2014,13.35,154540,Petrol,Individual,Manual,0,8.53
2012,17.95,51883,Diesel,Individual,Manual,0,14.41
